Date,USD_Price,EUR_Price
1991-01-31,92.03,
1991-02-28,90.51,
1991-03-31,91.88,
1991-04-30,92.77,
1991-05-31,91.3,
1991-06-30,87.77,
1991-07-31,90.82,
1991-08-31,91.18,
1991-09-30,91.79,
1991-10-31,93.97,
1991-11-30,89.98,
1991-12-31,83.74,
1992-01-31,86.31,
1992-02-29,86.04,
1992-03-31,87.44,
1992-04-30,89.98,
1992-05-31,91.36,
1992-06-30,90.35,
1992-07-31,88.36,
1992-08-31,88.22,
1992-09-30,88.53,
1992-10-31,86.34,
1992-11-30,85.24,
1992-12-31,85.67,
1993-01-31,86.78,
1993-02-28,88.27,
1993-03-31,90.01,
1993-04-30,88.83,
1993-05-31,85.77,
1993-06-30,83.29,
1993-07-31,82.38,
1993-08-31,83.23,
1993-09-30,83.95,
1993-10-31,81.13,
1993-11-30,78.13,
1993-12-31,77.41,
1994-01-31,83.94,
1994-02-28,81.04,
1994-03-31,80.65,
1994-04-30,82.62,
1994-05-31,83.66,
1994-06-30,85.23,
1994-07-31,86.39,
1994-08-31,80.59,
1994-09-30,81.13,
1994-10-31,84.74,
1994-11-30,82.91,
1994-12-31,85.55,
1995-01-31,83.3,
1995-02-28,83.83,
1995-03-31,84.75,
1995-04-30,86.91,
1995-05-31,85.58,
1995-06-30,82.59,
1995-07-31,83.94,
1995-08-31,85.45,
1995-09-30,85.71,
1995-10-31,86.67,
1995-11-30,88.95,
1995-12-31,96.32,
1996-01-31,93.15,
1996-02-29,93.57,
1996-03-31,97.81,
1996-04-30,99.08,
1996-05-31,96.49,
1996-06-30,97.75,
1996-07-31,92.13,
1996-08-31,93.96,
1996-09-30,97.13,
1996-10-31,96.99,
1996-11-30,103.64,
1996-12-31,101.88,
1997-01-31,96.99,
1997-02-28,89.37,
1997-03-31,91.08,
1997-04-30,93.13,
1997-05-31,93.42,
1997-06-30,87.64,
1997-07-31,91.01,
1997-08-31,92.66,
1997-09-30,95.48,
1997-10-31,98.52,
1997-11-30,89.31,
1997-12-31,83.12,
1998-01-31,82.48,
1998-02-28,78.14,
1998-03-31,78.91,
1998-04-30,77.57,
1998-05-31,74.91,
1998-06-30,73.46,
1998-07-31,67.97,
1998-08-31,64.82,
1998-09-30,72.78,
1998-10-31,70.28,
1998-11-30,63.18,
1998-12-31,62.96,
1999-01-31,64.02,
1999-02-28,61.91,
1999-03-31,72.86,
1999-04-30,76.19,
1999-05-31,72.05,
1999-06-30,77.32,
1999-07-31,80.07,
1999-08-31,85.96,
1999-09-30,90.43,
1999-10-31,85.85,
1999-11-30,89.77,
1999-12-31,92.08,
2000-01-31,97.68,
2000-02-29,102.24,
2000-03-31,97.92,
2000-04-30,96.18,
2000-05-31,105.64,
2000-06-30,111.56,
2000-07-31,100.97,
2000-08-31,115.68,
2000-09-30,112.4,
2000-10-31,112.04,
2000-11-30,121.35,
2000-12-31,116.87,
2001-01-31,107.43,
2001-02-28,105.07,
2001-03-31,100.69,
2001-04-30,106.13,
2001-05-31,103.0,
2001-06-30,95.92,
2001-07-31,95.48,
2001-08-31,96.08,
2001-09-30,86.01,
2001-10-31,83.01,
2001-11-30,80.26,
2001-12-31,80.06,
2002-01-31,78.58,
2002-02-28,83.55,
2002-03-31,95.24,
2002-04-30,96.66,
2002-05-31,91.96,
2002-06-30,95.98,
2002-07-31,96.27,
2002-08-31,101.87,
2002-09-30,107.69,
2002-10-31,102.91,
2002-11-30,102.95,
2002-12-31,111.3,
2003-01-31,119.96,
2003-02-28,131.85,
2003-03-31,109.94,
2003-04-30,102.06,
2003-05-31,111.34,
2003-06-30,110.37,
2003-07-31,110.36,
2003-08-31,114.76,
2003-09-30,110.11,
2003-10-31,112.88,
2003-11-30,116.34,
2003-12-31,123.32,100.27
2004-01-31,123.1,101.07
2004-02-29,131.89,108.06
2004-03-31,133.53,111.01
2004-04-30,137.03,117.06
2004-05-31,142.66,119.71
2004-06-30,135.54,113.87
2004-07-31,145.53,123.98
2004-08-31,139.91,117.61
2004-09-30,159.85,131.6
2004-10-31,168.14,134.56
2004-11-30,162.11,124.79
2004-12-31,146.95,110.89
2005-01-31,156.89,123.05
2005-02-28,168.43,130.45
2005-03-31,181.57,143.34
2005-04-30,167.4,133.09
2005-05-31,167.97,139.7
2005-06-30,179.76,152.19
2005-07-31,190.27,160.65
2005-08-31,220.16,182.62
2005-09-30,222.25,189.15
2005-10-31,200.15,170.9
2005-11-30,196.85,170.7
2005-12-31,204.34,176.65
2006-01-31,214.84,181.03
2006-02-28,200.76,172.26
2006-03-31,206.36,174.37
2006-04-30,220.84,178.91
2006-05-31,219.98,175.71
2006-06-30,218.08,174.64
2006-07-31,222.91,178.63
2006-08-31,215.5,172.22
2006-09-30,206.45,166.9
2006-10-31,208.51,167.19
2006-11-30,222.22,171.67
2006-12-31,217.06,168.36
2007-01-31,211.85,166.53
2007-02-28,222.63,172.27
2007-03-31,224.13,171.75
2007-04-30,225.81,169.32
2007-05-31,225.28,171.38
2007-06-30,226.95,171.64
2007-07-31,231.28,173.17
2007-08-31,226.87,170.24
2007-09-30,248.24,178.14
2007-10-31,269.34,190.52
2007-11-30,267.67,186.45
2007-12-31,285.61,200.24
2008-01-31,293.94,202.42
2008-02-29,326.7,220.14
2008-03-31,323.71,210.29
2008-04-30,343.26,224.93
2008-05-31,366.97,241.72
2008-06-30,405.25,263.39
2008-07-31,365.61,240.02
2008-08-31,341.72,238.44
2008-09-30,306.7,222.72
2008-10-31,229.77,185.18
2008-11-30,201.36,162.33
2008-12-31,194.79,142.63
2009-01-31,186.15,148.44
2009-02-28,175.67,141.83
2009-03-31,183.85,142.07
